epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,32085.3,1.13114,0.55175,1.05332,0.82799,0.82858,0.8725,0.55054,0.76627,0.49325,0.94397,0.0036145,0.0036145,0.0036145
131,32333,1.12522,0.56901,1.05637,0.83026,0.8316,0.8742,0.55096,0.76588,0.49359,0.94375,0.003565,0.003565,0.003565
132,32580.4,1.12739,0.56823,1.05324,0.82848,0.83154,0.87389,0.55181,0.76585,0.49291,0.94389,0.0035155,0.0035155,0.0035155
133,32827.1,1.1108,0.55485,1.05138,0.82828,0.83227,0.87329,0.55154,0.76523,0.49355,0.94381,0.003466,0.003466,0.003466
134,33074.8,1.12645,0.56098,1.05922,0.82979,0.83023,0.87231,0.55156,0.76483,0.49219,0.94364,0.0034165,0.0034165,0.0034165
135,33322.4,1.11864,0.56152,1.05583,0.83028,0.82934,0.87164,0.55199,0.76442,0.49264,0.94357,0.003367,0.003367,0.003367
136,33565.8,1.1218,0.55882,1.05427,0.82867,0.82955,0.8716,0.55211,0.76348,0.49275,0.94337,0.0033175,0.0033175,0.0033175
137,33812,1.10421,0.55287,1.0517,0.8289,0.82827,0.87183,0.55249,0.76317,0.49263,0.9433,0.003268,0.003268,0.003268
138,34057.5,1.1007,0.54936,1.05055,0.83035,0.82776,0.87186,0.55253,0.76297,0.493,0.94321,0.0032185,0.0032185,0.0032185
139,34304.6,1.12571,0.56821,1.05936,0.83079,0.82733,0.87165,0.55225,0.76263,0.49324,0.94306,0.003169,0.003169,0.003169
140,34551.4,1.11441,0.55593,1.05343,0.83141,0.82685,0.87158,0.55238,0.76262,0.49264,0.94306,0.0031195,0.0031195,0.0031195
141,34801.1,1.10284,0.55085,1.05656,0.83194,0.82802,0.87209,0.55262,0.76247,0.49141,0.94301,0.00307,0.00307,0.00307
142,35047.9,1.10909,0.5544,1.05396,0.83422,0.82744,0.87255,0.55286,0.762,0.49067,0.94286,0.0030205,0.0030205,0.0030205
143,35292.8,1.11128,0.55511,1.0507,0.83354,0.83138,0.87252,0.55266,0.76172,0.4907,0.9428,0.002971,0.002971,0.002971
144,35542.2,1.09618,0.54967,1.04704,0.83293,0.83413,0.87242,0.55247,0.76119,0.49056,0.94273,0.0029215,0.0029215,0.0029215
145,35784.5,1.11664,0.5561,1.05609,0.83502,0.83339,0.87302,0.55285,0.76092,0.49041,0.94269,0.002872,0.002872,0.002872
146,36028.8,1.09913,0.54351,1.04849,0.83663,0.83377,0.87184,0.55284,0.76083,0.49091,0.94275,0.0028225,0.0028225,0.0028225
147,36272.9,1.09053,0.54664,1.04358,0.83769,0.83271,0.87182,0.55255,0.76075,0.49058,0.94271,0.002773,0.002773,0.002773
148,36517,1.10579,0.54368,1.05142,0.83961,0.8336,0.87174,0.55342,0.76036,0.49057,0.94254,0.0027235,0.0027235,0.0027235
149,36761.4,1.0986,0.54275,1.04368,0.84005,0.83368,0.87153,0.55338,0.76024,0.49027,0.94256,0.002674,0.002674,0.002674
150,37010.2,1.08542,0.54838,1.04695,0.84184,0.83202,0.87219,0.55391,0.76011,0.49042,0.94248,0.0026245,0.0026245,0.0026245
151,37255.2,1.10177,0.55537,1.0452,0.84401,0.83171,0.87278,0.55446,0.75986,0.48986,0.94234,0.002575,0.002575,0.002575
152,37501,1.09644,0.55431,1.04385,0.84267,0.83095,0.87217,0.55401,0.75959,0.48991,0.94214,0.0025255,0.0025255,0.0025255
153,37750.7,1.09823,0.54939,1.04188,0.84281,0.83026,0.87232,0.55383,0.75928,0.48922,0.94197,0.002476,0.002476,0.002476
154,37993.5,1.09581,0.54858,1.04391,0.84352,0.82924,0.87246,0.55374,0.75901,0.48955,0.94178,0.0024265,0.0024265,0.0024265
155,38238.4,1.1043,0.55249,1.04599,0.84398,0.82961,0.87246,0.55374,0.75877,0.48864,0.94155,0.002377,0.002377,0.002377
156,38484.7,1.08727,0.54098,1.04173,0.84625,0.82973,0.8724,0.55394,0.75872,0.4888,0.94149,0.0023275,0.0023275,0.0023275
